Expenditure,Value,FY
Health and Sanitation,131438,2016
General Government,1316146,2016
Cultural and Recreational Services,57815,2016
Community Development,2391,2016
Capital Outlay,46467,2016
Protection of Persons and Property,2797742,2016
Public Works,112473,2016
Transportation,105354,2016
Other,5146,2016
Health and Sanitation,87722,2017
General Government,1356842,2017
Cultural and Recreational Services,12222,2017
Community Development,79002,2017
Capital Outlay,23359,2017
Protection of Persons and Property,2874117,2017
Public Works,268201,2017
Transportation,129893,2017
Other,10047,2017
Health and Sanitation,95705,2018
General Government,1332676,2018
Cultural and Recreational Services,61996,2018
Community Development,39074,2018
Capital Outlay,27858,2018
Protection of Persons and Property,2963819,2018
Public Works,186390,2018
Transportation,119240,2018
Other,14287,2018
Health and Sanitation,111680,2019
General Government,1336331,2019
Cultural and Recreational Services,61120,2019
Community Development,54000,2019
Capital Outlay,110000,2019
Protection of Persons and Property,3095356,2019
Public Works,193846,2019
Transportation,107590,2019
Other,24056,2019
Health and Sanitation,107329,2020
General Government,1553572,2020
Cultural and Recreational Services,52220,2020
Community Development,84944,2020
Capital Outlay,54241,2020
Protection of Persons and Property,3269764,2020
Public Works,219657,2020
Transportation,102720,2020
Other,20168,2020
Health and Sanitation,121325,2021
General Government,1478060,2021
Cultural and Recreational Services,44018,2021
Community Development,134074,2021
Capital Outlay,29164,2021
Protection of Persons and Property,3221865,2021
Public Works,147933,2021
Transportation,112490,2021
Other,6297,2021
Health and Sanitation,164898,2022
General Government,1573832,2022
Cultural and Recreational Services,79454,2022
Community Development,108209,2022
Capital Outlay,53975,2022
Protection of Persons and Property,3414251,2022
Public Works,201042,2022
Transportation,139871,2022
Other,25301,2022